479,380 119
589,492 200
617,172 165
674,413 114
134,19 96
216,483 112
175,630 6
127,623 87
13,251 67
952,419 102
308,805 23
12,952 153
948,676 63
842,875 128
389,285 47
721,755 47
203,202 43
657,194 116
45,894 131
587,43 125
95,670 68
810,905 185
744,760 46
657,736 191
433,211 55
271,372 63
156,293 103
817,737 78
228,947 109
603,404 32
317,766 36
994,762 12
346,768 139
563,346 109
940,737 118
835,269 128
569,303 87
369,821 135
661,175 144
235,843 171
36,302 139
173,597 74
743,375 117
230,685 29
11,111 82
338,350 34
739,380 99
498,118 126
344,551 43
512,431 98
59,885 108
350,617 130
642,500 123
621,869 142
133,949 185
573,322 92
56,511 36
266,71 67
581,686 175
708,795 176
701,836 133
526,430 131
940,657 185
655,529 56
523,45 32
281,656 25
224,969 121
375,471 94
453,613 133
124,20 189
501,966 33
880,890 89
535,190 89
737,982 81
847,946 122
921,151 124
941,949 137
686,770 138
759,742 80
161,907 111
873,987 84
358,791 41
71,714 169
758,622 118
193,629 11
674,747 110
599,25 132
665,382 139
990,400 100
474,47 86
684,992 163
271,911 67
359,881 73
849,965 186
679,905 43
912,333 115
688,433 146
458,669 67
518,262 195
251,547 56
847,332 117
680,497 180
940,171 95
16,927 61
528,833 60
109,263 36
388,638 168
925,247 65
153,159 172
605,62 92
81,955 125
339,551 39
659,92 70
389,355 80
620,328 119
202,15 103
320,685 148
124,794 175
167,67 83
745,429 83
467,611 128
617,258 59
664,297 81
882,213 21
172,836 97
583,348 63
620,809 43
791,856 32
201,831 179
839,23 155
876,428 78
157,110 116
792,902 144
647,502 138
409,774 69
957,271 136
175,811 168
311,70 2
969,926 42
520,206 51
483,9 85
213,634 172
564,239 38
825,821 123
429,673 46
340,667 68
695,404 119
723,411 64
363,327 166
363,157 144
52,624 73
33,718 51
295,344 60
73,597 142
249,874 36
942,336 171
161,606 87
695,228 76
415,385 24
235,356 35
659,191 56
633,740 106
922,183 54
178,253 20
701,487 8
290,357 69
742,968 124
139,564 144
317,632 69
633,536 63
383,512 124
88,239 77
979,133 207
671,496 122
571,1 101
52,151 77
586,498 98
512,331 55
95,357 82
664,925 91
980,108 80
693,409 53
251,690 118
783,450 207
587,465 205
136,328 120
340,242 141
632,49 226
370,42 30
162,361 64
923,923 0
140,23 192
940,598 66
390,759 155
833,386 151
496,854 114
125,428 174
438,454 50
576,735 136
241,183 192
300,832 31
54,868 91
327,435 140
777,944 140
645,878 77
35,543 153
586,505 137
865,520 105
904,641 194
589,547 126
334,899 112
936,406 187
852,49 126
522,298 33
812,439 64
402,430 111
633,155 57
537,622 142
587,748 29
402,61 60
261,666 98
107,886 84
88,295 140
216,466 24
554,835 23
886,790 101
107,434 159
110,384 41
630,596 46
339,767 102
600,173 181
275,123 38
405,823 52
309,326 59
508,306 200
890,805 105
471,395 200
650,284 149
102,949 157
226,880 40
198,756 45
90,477 67
987,801 123
193,946 163
150,431 71
214,565 67
700,112 163
865,26 134
990,236 170
308,51 72
101,66 115
6,286 88
550,692 84
28,806 28
860,754 189
786,929 60
8,920 126
30,419 100
795,91 133
567,402 64
502,812 194
119,850 83
621,78 178
663,242 129
747,634 89
937,460 172
519,367 49
288,777 176
794,180 181
241,846 95
218,219 133
819,174 153
671,525 154
939,551 8
383,267 87
337,881 162
307,307 0
22,508 82
971,722 124
419,370 25
868,563 62
956,727 111
51,605 151
119,434 19
955,488 115
12,105 57
580,759 142
267,352 162
695,593 84
745,798 197
789,239 88
111,31 99
419,507 71
135,471 86
777,823 132
857,899 147
588,975 50
878,674 168
523,766 25
362,86 41
490,333 38
837,743 192
905,186 193
192,882 147
667,607 55
287,83 125
954,461 104
553,131 89
498,128 147
599,438 124
571,82 18
564,662 103
773,288 113
428,2 125
